AO DispatchRays,AtrousWaveletTransformFilter,CalculateAmbientOcclusion,CalculatePartialDerivatives,CompositionCS,Denoise,Disocclusions blur,DownsampleGBuffer,Pathtracing,RTAO,Upsample AO,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.514   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.488   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.514   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.488   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.514   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.488   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.514   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.488   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.514   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.488   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.514   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.488   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.514   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.488   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.514   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.488   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.514   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.488   ,   4.55   ,   1.71   , 0.0846   ,
  0.672   ,  0.285   ,  0.684   ,  0.151   ,  0.363   ,  0.957   ,  0.217   ,  0.514   ,   4.55   ,   1.71   , 0.0846   ,
